Modelo,Acurácia,Precisão,Recall,F1-Score,AUC-ROC
Random Forest,0.995415423737102,0.3700440528634361,0.16683217477656406,0.2299794661190965,0.98519618707772
Regressão Logística,0.9482696790389098,0.07349828479673017,1.0,0.1369322817514278,0.9844755531685678
SVM,0.017405089083410763,0.004159025953643588,1.0,0.008283600199069638,0.03423539733265329
