Modelo,TN,FP,FN,TP,Taxa FP (%),Taxa FN (%)
Random Forest,243953,428,830,177,0.17513636493835444,82.42303872889771
Regressão Logística,231687,12694,0,1007,5.194348169456709,0.0
SVM,1,244380,0,1007,99.99959080288566,0.0
