Modelo,Acurácia,Precisão,Recall,F1-Score,AUC-ROC
Random Forest,0.9948734249433551,0.29256198347107437,0.17576961271102284,0.2196029776674938,0.9803108367744936
Regressão Logística,0.9482696790389098,0.07349828479673017,1.0,0.1369322817514278,0.984370901108163
SVM,0.004107780331556556,0.004103721876057004,1.0,0.008173900338482268,0.05368839652746145
