Modelo,Acurácia,Precisão,Recall,F1-Score,AUC-ROC
Random Forest,0.9954072733793013,0.37755102040816324,0.18371400198609733,0.24716098864395458,0.9860611411925622
Regressão Logística,0.9482696790389098,0.07349828479673017,1.0,0.1369322817514278,0.9837046940723921
SVM,0.9701656152705104,0.08613004719454641,0.6524329692154915,0.1521713954834974,0.18085838924403724
