feature,importance
horario_pico,0.013271647642651934
periodo_dia,0.02437933816111561
dia_semana,0.06402988254785483
numero_vitimas,0.07871506896731612
mes,0.08447402689715279
hora,0.09938430515962926
descricao,0.12893523463131695
tipo_acidente,0.13082930641436008
dia,0.14123931671905846
endereco_id,0.22375126302243584
