Modelo,TN,FP,FN,TP,Taxa FP (%),Taxa FN (%)
Random Forest,244076,305,822,185,0.12480511987429464,81.62859980139027
Regressão Logística,231687,12694,0,1007,5.194348169456709,0.0
SVM,237410,6971,350,657,2.852513084077731,34.75670307845085
